Trial,Word,Color,Correct_Key,Response,RT,Correct,Timestamp,ITI
170,green,green,down,down,0.5990935999434441,1,2025-02-25_09:47:12:683645,1.41
171,green,blue,right,right,0.6004901999840513,1,2025-02-25_09:47:14:106823,1.563
172,green,blue,right,down,0.4623624000232667,0,2025-02-25_09:47:15:684678,1.6680000000000001
173,red,red,left,left,0.9496607999317348,1,2025-02-25_09:47:17:363435,1.057
174,green,red,left,left,0.5680339999962598,1,2025-02-25_09:47:18:436120,1.222
175,red,blue,right,right,0.5875654000556096,1,2025-02-25_09:47:19:669934,1.6
176,green,blue,right,right,0.44138309999834746,1,2025-02-25_09:47:21:286009,1.692
177,green,blue,right,right,0.3965547999832779,1,2025-02-25_09:47:22:989764,1.4849999999999999
178,red,blue,right,right,0.3605534000089392,1,2025-02-25_09:47:24:482760,1.3599999999999999
179,green,blue,right,right,0.3756657000631094,1,2025-02-25_09:47:25:853932,1.607
180,green,blue,right,right,0.35195229994133115,1,2025-02-25_09:47:27:468513,1.25
181,green,red,left,left,0.7429713999154046,1,2025-02-25_09:47:28:729348,1.455
182,red,blue,right,right,0.6736189000075683,1,2025-02-25_09:47:30:193433,1.366
183,blue,green,down,down,0.5492355999303982,1,2025-02-25_09:47:31:576274,1.7269999999999999
184,green,green,down,down,0.4894605999579653,1,2025-02-25_09:47:33:316959,1.27
185,red,blue,right,right,0.9756552999606356,1,2025-02-25_09:47:34:603007,1.687
186,blue,green,down,None,1.5,0,2025-02-25_09:47:36:299788,1.7429999999999999
187,blue,red,left,left,0.5541842000093311,1,2025-02-25_09:47:38:063548,1.526
188,red,blue,right,right,0.5160904000513256,1,2025-02-25_09:47:39:601515,1.579
189,red,red,left,None,1.5,0,2025-02-25_09:47:41:192522,1.19
190,blue,blue,right,right,0.9557612000498921,1,2025-02-25_09:47:42:402891,1.467
191,red,red,left,left,0.6053308999398723,1,2025-02-25_09:47:43:884108,1.741
192,green,green,down,down,0.5855302000418305,1,2025-02-25_09:47:45:632385,1.2530000000000001
193,red,red,left,left,0.9997975999722257,1,2025-02-25_09:47:46:897154,1.209
194,blue,red,left,left,0.4886177000589669,1,2025-02-25_09:47:48:113210,1.313
195,blue,red,left,left,0.5029284000629559,1,2025-02-25_09:47:49:436889,1.109
196,red,red,left,left,0.9672906000632793,1,2025-02-25_09:47:50:562972,1.607
197,blue,red,left,left,0.3988899999530986,1,2025-02-25_09:47:52:178246,1.4020000000000001
198,blue,blue,right,right,0.5098543999483809,1,2025-02-25_09:47:53:591342,1.655
199,blue,blue,right,right,0.7291823000414297,1,2025-02-25_09:47:55:259189,1.412
200,blue,blue,right,right,0.4463852000189945,1,2025-02-25_09:47:56:690371,1.25
201,blue,blue,right,right,0.6947631000075489,1,2025-02-25_09:47:57:950782,1.403
202,red,red,left,None,1.5,0,2025-02-25_09:47:59:361387,1.221
203,red,blue,right,None,1.5,0,2025-02-25_09:48:00:602096,1.204
204,green,blue,right,right,0.5841785999946296,1,2025-02-25_09:48:01:824805,1.529
205,green,blue,right,right,0.3664701000088826,1,2025-02-25_09:48:03:365464,1.726
206,red,blue,right,right,0.4449181000236422,1,2025-02-25_09:48:05:104149,1.588
207,blue,red,left,left,0.4836316000437364,1,2025-02-25_09:48:06:705387,1.371
208,red,blue,right,right,0.5130104999989271,1,2025-02-25_09:48:08:090051,1.647
209,blue,red,left,left,0.5448325000470504,1,2025-02-25_09:48:09:746297,1.4
210,red,blue,right,right,0.6093532000668347,1,2025-02-25_09:48:11:159327,1.246
211,red,red,left,left,0.4931928999722004,1,2025-02-25_09:48:12:416876,1.434
212,blue,blue,right,right,0.48464279994368553,1,2025-02-25_09:48:13:860947,1.3820000000000001
213,red,blue,right,right,0.40356620005331933,1,2025-02-25_09:48:15:252846,1.297
214,red,green,down,left,0.48828129994217306,0,2025-02-25_09:48:16:564393,1.7149999999999999
215,red,green,down,down,0.5071227001026273,1,2025-02-25_09:48:18:290672,1.6400000000000001
216,blue,blue,right,right,0.76043889997527,1,2025-02-25_09:48:19:949673,1.417
217,green,red,left,left,0.43463579996023327,1,2025-02-25_09:48:21:377029,1.4809999999999999
218,green,green,down,down,0.4799404999939725,1,2025-02-25_09:48:22:866510,1.5979999999999999
219,green,green,down,down,0.38455040007829666,1,2025-02-25_09:48:24:471266,1.433
220,green,blue,right,right,0.4203685999382287,1,2025-02-25_09:48:25:921042,1.389
221,green,blue,right,right,0.4211206999607384,1,2025-02-25_09:48:27:324828,1.692
222,red,red,left,left,0.41312650009058416,1,2025-02-25_09:48:29:023406,1.438
223,green,green,down,down,1.0008417000062764,1,2025-02-25_09:48:30:473757,1.7309999999999999
224,green,green,down,down,0.4898514000233263,1,2025-02-25_09:48:32:221520,1.097
225,green,green,down,down,0.4009494000347331,1,2025-02-25_09:48:33:328269,1.217
226,blue,red,left,left,0.4834561999887228,1,2025-02-25_09:48:34:556685,1.252
227,green,green,down,down,0.5064914999529719,1,2025-02-25_09:48:35:823644,1.096
228,blue,blue,right,right,0.5062863000202924,1,2025-02-25_09:48:36:926874,1.6280000000000001
229,blue,blue,right,right,0.5136363999918103,1,2025-02-25_09:48:38:567251,1.103
230,red,green,down,down,0.6069389999611303,1,2025-02-25_09:48:39:687541,1.441
231,green,blue,right,right,0.4400634999619797,1,2025-02-25_09:48:41:138921,1.215
232,blue,blue,right,right,0.47937800001818687,1,2025-02-25_09:48:42:361515,1.733
233,red,blue,right,right,0.48381730006076396,1,2025-02-25_09:48:44:108488,1.6059999999999999
234,red,red,left,left,0.6671412999276072,1,2025-02-25_09:48:45:726493,1.259
235,blue,green,down,right,0.8133607000345364,0,2025-02-25_09:48:46:994866,1.178
236,red,red,left,None,1.5,0,2025-02-25_09:48:48:186483,1.295
237,red,red,left,left,0.491380300023593,1,2025-02-25_09:48:49:499015,1.716
238,green,red,left,left,0.4077839999226853,1,2025-02-25_09:48:51:228682,1.587
239,blue,blue,right,right,0.426106300088577,1,2025-02-25_09:48:52:829565,1.228
240,red,red,left,left,0.4980885999975726,1,2025-02-25_09:48:54:076261,1.209
